Bank,IntChk2.5k,IntChk5k,MM2.5k,MM10k,MM25k,MM50k,MM100k,MM250k,Savings1k,Savings2.5k,3MoCD,6MoCD,9MoCD,1YrCD,18MoCD,2YrCD,30MoCD,3YrCD,4YrCD,5YrCD,36MoNAuto25k,48MoNAuto25k,60MoNAuto25k,72MoNAuto25k,36MoUAuto15k,48MoUAuto15k,60MoUAuto15k,72MoUAuto15k,36MoFixedUnsecLoan5k,60MoNRV25k,60MoNBoat25k,PlatCC,RwrdsCC,InterestIncomeoverAvgAssets,InterestExpenseoverAverageAssets,NetInterestIncomeoverAvgAssets,NetInterestMargin,YieldoverCostSpread,YieldonSecurities&OtherAssets,YieldonDebtandEquitySecurities,YieldonOtherAssets,AssetweightedSecurities&OtherYield,AssetweightedLoanYield,AssetweightedSecuritiesYield,AssetweightedOtherAssetYield,YieldonEarningAssets,YieldonLoansandLeases,NoninterestIncomeoverAverageAssets,GrossLoansoverAssets,LoansoverDeposits,OperatingExpenseoverOperatingRevenue,RiskBasedCapitalRatio,EquityoverAssets,ReservesoverNPAs,NetChargeoffsoverAvgLoans,LiquidityRatio,LiquidAssetsoverAssets,OneYearGapoverAssets,EarningAssetsoverIBL,CostofFunds,CostofInterestbearingLiabilities,CostofIntbearingDeposits,CostofBorrowings,CostofTimeDeposits$250K,CostofOtherTimeDeposits,LiabweighCostofIntbearDep,LiabilitywtdBorrowingCost,AssetGrowthRate,DepositGrowthRate,ChangeinAssets,ChangeinDeposits,ROAA
Bank1,0.01,0.01,0.05,0.05,0.05,0.05,0.09,0.09,0.04,0.04,0.08,0.1,0.1,0.2,0.2,0.35,0.35,0.35,0.35,0.35,2.29,2.29,2.29,2.69,2.29,2.29,2.29,2.69,7,3.39,3.39,,,3.7,0.06,3.64,4.1,4.06,3.03,3.27,1.82,1.02,3.16,0.92,0.1,4.18,4.76,0.59,58.58,72.99,51.26,14.77,15.72,543.04,0.03,39.85,33.59,10.15,167.32,0.08,0.12,0.1,1.9,0.43,0.22,0.1,0.01,-5.68,-5.26,-1.42,-1.32,-0.16
Bank2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.42,0.46,0.47,0.48,0.62,0.64,0.67,0.7,,0.75,,,,,,,,,,,,,,3.46,0.19,3.27,3.51,3.45,1.8,2.27,1.59,0.55,3.16,0.22,0.33,3.71,4.54,0.21,64.89,73.85,84.54,19.33,9.91,44.61,0,28.13,25.35,23.57,126.99,0.21,0.26,0.26,,0.39,0.7,0.26,,9.69,9.81,2.42,2.45,0.42
Bank3,0.2,0.2,0.15,0.2,0.5,0.5,0.5,0.5,0.2,0.2,0.15,0.3,,0.5,0.75,0.9,,1,1.3,1.5,6.5,6.5,6.5,6.75,7.25,7,6.75,,13.99,,,,,4.17,0.52,3.65,3.84,3.65,2.35,2.49,1.63,0.6,3.79,0.54,0.07,4.39,5.1,0.71,73.42,87.37,64.87,13.37,10.68,72.34,-0.03,12.51,11.17,33.37,134.36,0.58,0.74,0.67,3.11,1.31,1.32,0.65,0.08,-6.99,-13.41,-1.75,-3.35,1.08
Bank4,,,0.01,0.05,0.05,0.1,0.2,0.2,0.05,0.05,0.05,0.15,0.15,0.8,0.4,1.4,0.75,0.85,1.2,1.68,3.24,4.24,4.24,6.24,5.24,5.74,5.74,,14.22,,5.01,,,4.98,0.52,4.47,4.63,4.39,2.35,2.39,2.25,0.32,4.85,0.22,0.1,5.17,5.62,1.82,83.21,100.04,64.63,16.21,12.39,,-0.02,13.4,11.74,19.02,141.33,0.6,0.78,0.76,1.36,1.42,1.33,0.73,0.05,25.15,13.75,6.29,3.44,1.76
Bank5,0.04,0.04,0.07,0.07,0.16,0.21,0.25,0.25,0.06,0.06,0.05,0.1,,0.15,0.17,0.22,0.22,0.5,1,1.25,3.88,3.87,3.82,4.31,3.88,3.87,3.82,4.31,11.43,6.75,6.75,11.49,13.49,3.97,0.58,3.39,3.63,3.42,2.28,2.22,3.67,0.4,3.86,0.37,0.03,4.26,4.67,1.63,77.63,98.29,60.98,14.54,11.99,262.15,0.03,13.91,12.24,-20.97,133.94,0.67,0.84,0.71,1.9,1.59,1.37,0.63,0.21,11.19,2.41,2.8,0.6,1.28
Bank6,0.31,0.36,0.36,0.36,0.41,0.41,0.51,0.56,0.21,0.21,,0.41,,0.91,0.86,1.06,1.11,1.16,1.46,2.03,3.74,3.74,3.74,,4.74,4.74,4.74,,12.49,5.99,5.99,,10.5,3.65,0.89,2.76,2.87,2.78,2.67,2.65,23.46,1.31,2.47,1.31,0.01,3.79,4.87,0.45,49.17,56.58,62.62,19.77,8.86,186.16,0.04,35.69,32.52,-2.39,114.68,0.93,1,0.92,2.8,1.52,1.42,0.88,0.13,1.55,-0.27,0.39,-0.07,1.05
Bank7,0.05,0.05,0.09,0.17,0.27,0.37,0.46,0.46,0.05,0.08,0.12,0.21,0.15,0.28,0.3,0.45,0.5,0.67,0.65,0.99,4.94,4.94,4.94,5,5.72,5.72,5.72,,12.56,5.06,5.06,11.24,13.24,4.44,0.39,4.06,4.26,4.13,1.82,1.87,1.72,0.31,4.36,0.21,0.1,4.67,5.26,0.44,78.71,96.37,58.98,17.9,12.95,34.35,0.05,13.31,11.59,30.18,132.85,0.44,0.54,0.41,2.32,1.18,0.78,0.38,0.16,0.87,-3.8,0.22,-0.95,1.75
Bank8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,,,0,,,,0,,8.2,0,,0,100,99.87,,,101.39,0.13,0,,,,,,,,,,-1.39,,-0.35,,7.7
Bank9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.62,0.31,2.31,2.49,2.38,1.68,1.74,1.61,0.69,2.13,0.39,0.3,2.83,3.63,0.24,52.46,62.66,83.97,38.24,15.02,26.35,-0.06,46.31,39.36,17.62,132.93,0.37,0.44,0.41,4.53,1.11,0.9,0.41,0.03,2.52,6.2,0.63,1.55,0.34
Bank10,,0.1,,0.15,0.15,0.15,0.15,0.15,0.05,0.1,0.5,0.7,0.8,1.51,,1.85,,1.94,2.16,2.27,,,,,,,,,,,,,,3.88,0.64,3.25,3.37,3.01,1.47,1.13,1.59,0.16,3.87,0.03,0.13,4.04,4.36,1.05,81.88,94.75,79.31,22.25,13.18,143.46,0,17.62,15.3,5.93,155.08,0.73,1.02,1.02,,1.09,1.23,1.02,,36.06,42.08,9.02,10.52,0.53
Bank11,0.25,0.25,0.5,0.75,0.75,0.75,0.75,0.75,0.25,0.25,,0.4,,0.5,0.75,,,1,,1.26,,,,,,,,,,,,,,3.52,0.49,3.03,3.53,3.39,1.6,1.5,1.62,0.49,3.62,0.08,0.41,4.11,5.21,2.45,65.74,90.72,75.48,38.6,25.57,176.09,0,29.31,21.82,31.06,129.22,0.68,0.71,0.71,,0.9,1.09,0.71,,-22.62,-32.83,-5.66,-8.21,1.02
Bank12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.91,0.6,3.31,3.5,3.42,2.7,2.79,2.06,0.93,3.21,0.84,0.09,4.14,4.9,0.33,60.75,81.95,84.63,23.14,12,57.66,-0.01,36.01,31.69,-2.47,109.78,0.67,0.71,0.44,2.07,1.01,0.68,0.37,0.34,-4.25,-1.16,-1.06,-0.29,0.53
Bank13,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.05,0.1,0.15,0.4,0.5,0.9,0.95,1.1,1.1,1.2,1.45,1.65,,,,,,,,,,,,,,3.74,0.46,3.28,3.94,3.75,3.08,3.49,2.25,0.54,3.96,0.41,0.13,4.5,4.8,1.05,68.98,88.98,62.73,13.24,15.06,196.57,0.13,8.76,7.44,14.22,149.01,0.53,0.75,0.72,1.02,1.62,0.92,0.64,0.11,-5.57,-6.66,-1.39,-1.67,1.14
Bank14,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.1,0.15,,0.2,0.25,1.6,0.35,1.63,0.65,1.6,3.74,3.99,3.99,4.74,4.49,4.49,4.49,,9.49,,,10.49,15.49,3.86,0.43,3.43,3.71,3.68,1.98,1.91,2.67,0.3,3.87,0.26,0.04,4.17,4.57,0.95,76.86,94.28,62.41,14.29,9.72,147.67,0.26,7.51,6.78,11.93,107.04,0.48,0.5,0.37,1.69,1.23,1.04,0.33,0.16,3.91,4.6,0.98,1.15,1.24
Bank15,0.05,0.05,0.15,0.15,0.15,0.15,0.15,0.15,0.1,0.1,0.15,0.25,0.3,0.4,0.55,0.7,0.85,1,1.1,1.55,2.99,2.99,2.99,3.99,2.99,2.99,2.99,,13,7,7,,,3.69,0.63,3.06,3.28,3.18,2.68,2.68,2.64,0.26,3.7,0.23,0.03,3.96,4.1,0.36,83.13,103.91,84.84,14.86,10.05,90.21,-0.01,11.98,10.77,-1.03,115.04,0.7,0.78,0.65,1.87,0.98,1.02,0.58,0.21,4.28,0.22,1.07,0.06,0.43
Bank16,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.25,,1.35,1.35,1.4,,1,1.6,2.15,,,,,,,,,,,,,,5.78,1.24,4.54,4.72,4.57,1.55,,,0.2,5.81,,,6.01,6.67,0.3,84.75,125.15,127.85,12.33,9.88,63.23,0.41,12.41,11.18,-21.69,109.39,1.4,1.43,1.32,1.93,2.07,1.41,1.08,0.35,-18.57,-58.63,-4.64,-14.66,-1.81
Bank17,0.1,0.1,0.15,0.3,0.3,0.4,0.55,0.55,0.2,0.2,0.15,0.25,0.4,0.6,0.6,0.7,,0.85,,,6,6.25,6.5,,7.5,7.5,7,,,,,,,4.56,0.67,3.89,4.07,3.8,1.95,2.46,1.59,0.25,4.52,0.13,0.12,4.77,5.18,0.18,85.31,97.35,47.75,14.07,11.83,141.34,0.2,14.55,12.83,31.84,139.08,0.76,0.97,0.97,,2.41,0.62,0.97,,-4.42,-5.89,-1.11,-1.47,1.68
Bank18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,0.02,1.41,1.73,0.16,1.76,1.73,,1.76,,1.73,,1.76,,16.72,0,0,45.84,484.65,95.51,,,,88.68,13.49,,1.6,1.6,1.6,,1.6,,1.6,,9.42,0,2.35,0,7.48
Bank19,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.2,0.2,0.55,0.75,,1.05,,,1.31,,,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank20,0.03,0.03,0.1,0.1,0.2,0.28,0.28,0.3,0.05,0.05,,0.4,,0.35,0.4,0.55,0.65,0.8,1.1,1.15,3.39,3.71,4.04,4.43,3.39,3.71,4.04,,7.99,5.39,5.39,11.49,13.49,3.96,0.45,3.51,3.83,3.62,2.36,2.24,5.12,0.35,3.97,0.32,0.03,4.32,4.65,4.73,79.54,91.32,73.32,12.13,8.76,295.07,0.02,6.68,6.1,21.52,147.41,0.48,0.69,0.4,4.17,0.63,0.72,0.37,0.32,-8.88,-3.26,-2.22,-0.81,1.33
Bank21,0.05,0.05,0.15,0.2,0.2,0.25,0.3,0.3,0.05,0.05,0.1,0.15,,0.35,1.5,0.45,,0.55,0.7,0.75,5.18,5.18,5.18,,6.1,6.1,6.1,,,,,11.49,13.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank22,0.07,0.07,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.2,0.25,0.35,0.6,0.5,0.7,0.75,0.9,,1.26,4.5,4.5,4.5,,5,5,5,,,6.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.48,0.37,3.11,3.72,3.55,2.19,2.44,2.06,0.53,3.63,0.2,0.33,4.16,4.79,31.8,65.53,74.93,102.59,18.82,11.83,18.96,-0.12,20.63,18.19,5.99,137.52,0.42,0.62,0.62,,1.56,1.3,0.62,,-44.95,-47.69,-11.24,-11.92,-0.21
Bank24,0.01,0.01,,,,0.05,0.1,0.15,0.01,0.01,0.05,0.05,,0.25,0.3,0.4,,0.5,0.6,1.1,4.74,4.74,4.74,5.24,4.74,4.74,4.74,,,6.5,6.5,9.49,13.49,4,0.16,3.84,4.03,4.02,2.5,2.97,1.64,0.81,3.39,0.62,0.19,4.2,5.02,0.9,64.13,72.45,66.97,13.2,7.43,121.09,-0.04,23.19,21.47,35.12,152.47,0.14,0.18,0.08,2.88,0.52,0.44,0.08,0.1,10.21,11.73,2.55,2.93,1.32
Bank25,,,0.23,0.44,0.55,0.66,0.87,0.87,0.25,0.25,0.25,0.5,,0.75,0.85,0.95,1.05,1.2,1.5,1.6,,,,,,,,,,,,,,4.22,0.59,3.63,3.82,3.6,1.94,1.74,2,0.52,3.92,0.12,0.41,4.45,5.37,0.92,70.18,81.92,64.93,21.04,13.54,137.7,0.01,28.86,24.95,5.8,134.3,0.69,0.84,0.84,,1.23,1.09,0.84,,3.74,3.44,0.93,0.86,0.7
Bank26,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.07,0.08,0.13,0.13,0.25,0.25,0.38,0.49,0.49,3.25,4,4.25,,3.75,4.75,,,16,,,8.75,10.5,3.43,0.13,3.31,3.7,,1.91,1.77,2.38,0.72,3.12,0.51,0.21,3.84,4.99,2.49,55.04,63.18,83.15,17.37,8.58,36.93,0.22,22.01,20.12,44.17,227.93,0.31,,0.16,,,,,,,,,,0.53
Bank27,0.35,0.35,0.45,0.45,0.45,0.55,0.65,0.65,0.35,0.35,0.7,1,1,1.05,1.15,1.25,1.5,1.75,2,2,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,7.5,7.5,7.25,11.24,15.24,4.12,0.53,3.59,3.72,3.61,1.54,1.46,1.63,0.24,4.04,0.12,0.12,4.27,4.77,1.17,80.59,97.7,51.73,16.38,13.93,118.35,0.33,13.33,11.48,40.89,125.8,0.59,0.67,0.64,1.38,3.15,0.52,0.62,0.05,-3.05,-3.81,-0.76,-0.95,1.99
Bank28,0.15,0.15,0.2,0.3,0.4,0.5,0.6,0.7,0.25,0.25,0.65,0.85,,1.05,1.15,1.25,2.25,1.75,1.85,1.95,3.25,3.5,3.75,,3.25,3.5,3.75,,,5.75,6,,13.8,4.34,1.03,3.31,3.63,3.49,3.52,1.84,6.09,0.11,4.64,0.04,0.08,4.75,4.79,1.2,87.79,111.43,54.47,13.8,10.19,92.9,0.04,9.88,8.87,-17.88,116.7,1.14,1.27,1.21,1.69,1.86,1.59,1.08,0.19,4.84,-7.28,1.21,-1.82,1.79
Bank29,0.05,0.1,0.05,0.1,0.1,0.15,0.15,0.2,0.1,0.1,0.16,0.15,,0.6,0.75,1.1,1.93,1.96,2.01,2.15,3.24,3.24,3.24,,3.24,3.24,3.24,,4.99,5.49,5.49,7.74,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank30,0.1,0.1,0.25,0.25,0.25,0.4,0.5,0.65,0.25,0.25,,0.75,,1.25,1.4,1.6,,1.75,2,2.25,,,,,,,,,,,,,,3.59,0.76,2.82,2.97,2.81,2.2,2.45,1.65,0.68,3.1,0.52,0.16,3.78,4.48,0.09,65.63,79.63,63.89,24.48,12.01,91.6,0.15,23.14,20.36,-2.17,119.16,0.87,0.96,0.87,2.28,1.26,1.36,0.81,0.15,2.24,3.57,0.56,0.89,0.78
Bank31,0.15,0.15,0.1,0.1,0.15,0.15,0.15,0.15,0.1,0.1,,0.5,,1.35,1.5,1.55,,1.6,1.65,1.8,,,,,8.5,,,,9,,,,,3.83,0.67,3.15,3.69,3.68,4.01,2.1,,0.53,3.94,0.28,0.26,4.48,4.55,0.47,75.14,91.16,53.74,19.11,13.23,20.75,-0.06,13.21,11.46,19.49,111.41,0.77,0.79,0.69,2.77,0.36,1.51,0.65,0.14,-22.66,-18.22,-5.67,-4.55,1.67
Bank32,0.03,0.04,0.06,0.1,0.11,0.14,0.15,0.18,0.04,0.04,0.1,0.16,0.18,0.41,0.31,0.56,0.35,0.73,0.89,1.16,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,13.21,2.99,2.99,13.92,13.92,3.83,0.37,3.46,3.73,3.61,2.07,2.12,1.58,0.68,3.45,0.64,0.05,4.14,5.15,1.55,62.17,71.08,61.02,12.1,8.32,47.94,1.08,13.33,12.22,12.93,128.29,0.42,0.53,0.42,2.67,2.03,0.77,0.4,0.13,6.99,8.98,1.75,2.25,1.09
Bank33,0.15,0.15,,0.2,0.2,0.3,0.4,0.4,0.2,0.2,0.7,0.95,,1.35,1.7,1.9,,2.1,,,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,7.65,3.45,3.45,14.88,17.4,3.33,0.52,2.81,2.93,2.87,2.14,2.14,2,1.3,2.17,1.26,0.04,3.47,5.52,0.7,37.62,47.83,69.3,23.14,9.26,232.75,0.05,31.08,28.21,3.73,132.34,0.5,0.6,0.6,0.56,1.03,1.06,0.52,0.07,9.19,-1.53,2.3,-0.38,1.04
Bank34,0.05,0.08,0.03,0.03,0.03,0.03,0.03,0.03,0.01,0.01,0.05,0.1,0.1,0.1,,0.2,,,,,4.04,4.14,4.24,,4.54,4.54,,,,6.5,6.75,10.24,15.24,3.71,0.07,3.63,4.03,3.99,2.7,2.35,,0.93,3.19,0.81,0.12,4.11,4.86,1.16,57.57,62.93,82.29,13.3,7.87,687.49,0.08,39.06,35.99,-17.03,132.2,0.09,0.12,0.08,4.98,0.1,0.12,0.08,0.04,-1.24,0.74,-0.31,0.19,0.83
Bank35,0.4,0.4,0.2,0.2,0.4,0.4,0.5,0.5,0.1,0.1,0.15,0.4,,1.01,1.05,1.1,1.65,1.8,1.7,2.35,2.79,2.79,2.79,3.89,4.15,,,,10.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank36,,,,,,,,,1.45,1.45,,0.4,,0.55,0.6,1.75,,1.95,2,2.35,,,,,,,,,,,,14.49,14.49,5.5,1.39,4.11,4.58,4.08,1.69,2.45,1.59,0.34,5.79,0.05,0.28,6.13,7.24,17.59,72.26,188.17,69.99,12.15,10.89,256.75,2.01,21.5,19.15,43.13,133.78,2,2.05,1.67,2.49,0,2.12,0.89,1.16,-2.66,12.26,-0.66,3.07,3.65
Bank37,0.05,0.05,0.05,0.05,0.1,0.15,0.15,0.15,0.05,0.05,0.1,0.15,,0.2,0.3,0.45,,0.65,1.4,1.7,5.25,5.25,5.5,,5.25,5.25,,,,6.25,6.25,11.49,13.49,4.47,0.69,3.79,4.19,4.03,2.44,1.88,7.31,0.27,4.68,0.19,0.08,4.95,5.26,0.52,85.9,106.89,73.36,14.33,9.58,687.45,0,8.34,7.54,21.15,125.3,0.74,0.92,0.67,2.51,1.59,1.49,0.58,0.34,-10.22,-7.88,-2.55,-1.97,1.15
Bank38,0.5,0.5,0.85,0.85,0.85,0.85,0.85,0.85,0.75,0.75,0.99,1.11,1.21,1.31,1.41,1.51,,1.71,1.92,2.17,,,,,,,,,,,,,,4.16,0.88,3.28,3.67,3.62,1.08,1.12,0.59,0.31,4.35,0.3,0.01,4.66,6.12,0.52,70.71,93.67,71.41,18.89,11.84,182.65,-0.03,27.29,24.06,33.12,112.34,1.03,1.04,0.89,2.3,3.68,0.84,0.8,0.24,13.9,-17.95,3.47,-4.49,0.71
Bank39,0.01,0.01,0.04,0.06,0.1,0.1,0.2,0.2,0.03,0.03,0.1,0.15,,0.25,0.3,0.4,,0.45,0.65,0.85,2.5,2.75,3,3.25,5.25,5.5,5.75,,9,7.56,7.56,9.99,13.99,3.66,0.47,3.19,3.42,3.21,2.24,2.26,2.11,0.47,3.45,0.41,0.06,3.92,4.37,0.71,72.79,84.85,59.85,15.04,11.55,324.92,0,16.66,14.73,17.4,141.44,0.53,0.71,0.63,2.84,1.42,0.81,0.61,0.1,0.33,6.39,0.08,1.6,1.28
Bank40,0.03,0.03,0.08,0.09,0.16,0.35,0.5,0.65,0.05,0.05,0.1,0.14,0.15,0.2,0.35,0.38,0.4,0.71,0.95,1.11,3.85,3.85,3.95,4.3,3.87,3.87,3.96,4.31,8.72,4.95,4.95,11.49,13.49,4.02,0.56,3.45,3.57,3.52,2.5,2.33,7.04,0.43,3.73,0.39,0.04,4.16,4.5,0.47,79.1,100.96,60.4,10.75,8.99,133.73,0.05,9.7,8.83,23.52,135.5,0.52,0.64,0.51,1.58,1.02,0.99,0.45,0.19,13.6,7.44,3.4,1.86,1.22
Bank41,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.04,0.01,0.01,0.48,0.61,0.61,0.73,0.81,1,,1.18,1.34,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank42,0.01,0.02,0.03,0.04,0.04,0.04,0.06,0.06,0.02,0.02,0.03,0.05,0.05,0.1,0.1,0.15,0.15,1.15,0.2,1.75,,,,,,,,,5.24,,,11.24,17.24,3.66,0.2,3.46,3.73,3.63,2.29,2.4,0.94,0.58,3.36,0.56,0.02,3.94,4.51,0.76,68.94,77.58,60.99,13.97,8.76,112.6,0.28,15.84,14.46,13.21,143.74,0.22,0.32,0.28,1.36,1.97,0.94,0.27,0.05,5.34,12.16,1.34,3.04,1.11
Bank43,0.18,0.18,0.25,0.25,0.25,0.55,0.65,0.65,0.3,0.3,0.55,0.65,,0.8,1.26,1.56,,2.02,2.07,2.07,4,4.25,4.5,,4,4.95,5.95,,,4.5,4.5,9.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank44,0.9,0.9,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,0.05,0.4,,1.11,,1.31,,1.61,1.82,2.12,3.75,3.75,4,,4.5,4.5,4.75,,11,5.5,5.5,11.24,13.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank45,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.08,0.12,,0.2,0.27,0.34,,0.47,0.6,0.78,,,,,,,,,,,,11.49,13.49,4.07,0.55,3.52,3.83,3.61,2.55,2.52,2.71,0.35,4.08,0.29,0.06,4.42,4.72,1.28,78.54,97.74,60.3,12.85,10.83,27.98,0.1,11.4,10.17,16.69,140.41,0.61,0.82,0.59,2.51,1.15,0.81,0.52,0.3,8.48,-10.82,2.12,-2.7,1.36
Bank46,0.15,0.15,,0.2,0.25,0.25,0.4,0.4,0.1,0.1,0.25,0.35,0.35,0.4,0.5,1.88,0.8,1.44,1.5,2.22,3.67,3.67,3.67,3.67,4.7,4.7,4.7,,10.38,,,11.49,13.49,3.88,0.86,3.03,3.28,3.07,3.02,2.95,3.92,0.52,3.68,0.47,0.05,4.21,4.45,1.31,76.07,92.75,80.76,13.45,8.32,460.45,0.15,8.12,7.44,7.12,121.45,0.94,1.14,0.92,3.11,0.84,1.62,0.83,0.32,-5.65,-1.58,-1.41,-0.39,0.61
Bank47,0.1,0.1,0.15,0.2,0.25,0.25,0.35,0.4,0.1,0.1,,0.35,,0.5,0.6,0.8,,1,1.15,1.41,6,6,6.25,,6.25,6.25,6.5,,16,,,,,3.47,0.47,2.99,3.09,2.98,2.18,2.2,1.97,0.89,2.7,0.83,0.06,3.58,4.54,0.51,56.33,66.98,56.71,17.56,11.97,241.94,0.01,34.17,30.08,13.42,134.32,0.5,0.6,0.54,1.67,1.31,1.05,0.51,0.09,4.88,12.74,1.22,3.19,1.18
Bank48,,,0.5,0.5,0.5,0.5,0.5,0.5,0.35,0.35,0.3,0.5,,0.65,0.8,,0.95,,1.05,,,,,,,,,,,,,,,3.55,0.9,2.66,2.76,2.65,1.59,2.45,1.21,0.33,3.36,0.16,0.18,3.69,4.25,0.04,75.98,87.88,79.86,28.32,13.38,92.64,0.28,26.59,23.04,-29.61,111.97,1.04,1.04,1.04,,1.01,1.04,1.04,,-7.84,-8.95,-1.96,-2.24,0.25
Bank49,,0.05,0.05,0.07,0.07,0.15,0.17,0.2,0.05,0.05,0.07,0.15,,0.17,0.22,0.3,,0.43,0.49,0.75,4.99,5.24,5.24,5.24,5.24,5.24,5.24,,10.24,8.24,8.24,11.24,17.24,3.43,0.22,3.21,3.51,3.48,2.28,2.23,3.28,0.75,3,0.7,0.05,3.75,4.47,2.07,63.19,70.71,57.44,12.69,7.69,383.36,0.04,10.25,9.46,11.6,176.13,0.19,0.27,0.16,3.87,1.07,0.53,0.16,0.12,15.62,22.24,3.91,5.56,1.93
Bank50,0.05,0.05,0.05,0.1,0.1,0.15,0.15,0.15,0.15,0.15,,0.1,0.1,0.25,0.75,0.25,0.5,1.16,1.36,2.02,2.95,3.12,3.12,3.35,3.2,3.37,3.37,3.6,12.2,7.16,7.16,,,4.92,0.91,4.01,4.34,4.1,1.86,2.04,1.34,0.14,5.18,0.11,0.03,5.32,5.6,0.78,83.97,110.27,66.47,15.75,12.86,81.55,-0.01,8.24,7.18,3.48,126.24,1.04,1.22,1.16,1.57,1.5,2.06,0.98,0.25,6.4,24.93,1.6,6.23,1.24
Bank51,0.01,0.01,0.01,0.2,0.3,0.5,1.1,1.1,0.02,0.02,,0.2,0.2,0.25,0.3,0.35,,0.5,0.65,2,7.91,7.91,7.85,,8.43,8.17,8.21,,,11.65,11.65,11.49,13.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank52,0.01,0.01,0.01,0.2,0.3,0.5,1.1,1.1,0.02,0.02,,0.2,0.2,0.25,0.3,0.35,,0.5,0.65,2,7.91,7.91,7.85,,8.43,8.17,8.21,,,11.65,11.65,11.49,13.49,3.92,0.6,3.32,3.49,3.35,2.55,2.57,2.42,0.28,3.85,0.25,0.03,4.12,4.32,0.41,85.02,105.88,74.23,13.54,10.81,88.08,0.79,11.41,10.17,16.04,121.83,0.69,0.77,0.71,1.49,3.89,1.04,0.65,0.12,6.58,-2.95,1.65,-0.74,0.7
Bank53,0.02,0.02,0.03,0.03,0.04,0.05,0.06,0.06,0.05,0.05,0.3,0.35,,0.45,,0.65,,0.75,0.85,0.95,,,,,,,,,,,,,,3.92,0.07,3.84,3.99,3.97,1.56,6.43,1.5,0.67,3.4,0.03,0.64,4.07,5.97,0.93,54.09,59.51,75.92,19.78,8.75,43.67,0.11,48.58,44.33,38.57,133,0.08,0.1,0.1,,0,0.31,0.1,,6.22,5.78,1.55,1.45,0.86
Bank54,0.1,0.1,0.2,0.3,0.3,0.6,0.6,0.6,0.1,0.1,0.1,0.1,,1,1.7,1.01,1.01,1.16,1.26,1.46,,,,,,,,,,,,,,4.1,0.67,3.43,3.57,3.4,1.65,2.28,0.65,0.45,3.82,0.38,0.07,4.27,5.25,0.79,69.5,91.38,93.69,15.7,9.79,57,0.01,10.74,9.68,22.36,121.14,0.81,0.87,0.74,1.6,1.49,1.28,0.62,0.25,21.14,29.96,5.29,7.49,0.22
Bank55,0.5,0.5,1.25,1.25,1.25,1.25,1.25,1.25,0.1,0.1,1.6,1.6,0.05,1.85,1.9,2.1,,2.15,2.2,2.4,,,,,,,,,,,,10.99,16.99,3.05,0.75,2.3,2.38,2.31,2.49,3.28,1.84,0.56,2.59,0.34,0.23,3.15,3.35,0.14,73.93,81.64,61.79,14.65,8.67,,0,21.46,19.6,42.24,109.61,0.82,0.85,0.85,6.57,1.36,1.29,0.85,0,10.11,10.16,2.53,2.54,0.67
