Bank,IntChk2.5k,IntChk5k,MM2.5k,MM10k,MM25k,MM50k,MM100k,MM250k,Savings1k,Savings2.5k,3MoCD,6MoCD,9MoCD,1YrCD,18MoCD,2YrCD,30MoCD,3YrCD,4YrCD,5YrCD,36MoNAuto25k,48MoNAuto25k,60MoNAuto25k,72MoNAuto25k,36MoUAuto15k,48MoUAuto15k,60MoUAuto15k,72MoUAuto15k,36MoFixedUnsecLoan5k,60MoNRV25k,60MoNBoat25k,PlatCC,RwrdsCC,InterestIncomeoverAvgAssets,InterestExpenseoverAverageAssets,NetInterestIncomeoverAvgAssets,NetInterestMargin,YieldoverCostSpread,YieldonSecurities&OtherAssets,YieldonDebtandEquitySecurities,YieldonOtherAssets,AssetweightedSecurities&OtherYield,AssetweightedLoanYield,AssetweightedSecuritiesYield,AssetweightedOtherAssetYield,YieldonEarningAssets,YieldonLoansandLeases,NoninterestIncomeoverAverageAssets,GrossLoansoverAssets,LoansoverDeposits,OperatingExpenseoverOperatingRevenue,RiskBasedCapitalRatio,EquityoverAssets,ReservesoverNPAs,NetChargeoffsoverAvgLoans,LiquidityRatio,LiquidAssetsoverAssets,OneYearGapoverAssets,EarningAssetsoverIBL,CostofFunds,CostofInterestbearingLiabilities,CostofIntbearingDeposits,CostofBorrowings,CostofTimeDeposits$250K,CostofOtherTimeDeposits,LiabweighCostofIntbearDep,LiabilitywtdBorrowingCost,AssetGrowthRate,DepositGrowthRate,ChangeinAssets,ChangeinDeposits,ROAA
Bank280,0.25,0.25,0.15,0.2,0.25,0.3,0.35,0.4,0.3,0.3,0.25,0.35,,0.5,0.55,0.7,0.8,0.9,1.05,1.15,,,,,,,,,,,,11.49,13.49,4.15,0.4,3.75,3.95,3.65,1.74,2.19,1.37,0.44,3.93,0.25,0.19,4.37,5.26,0.65,70.18,83.35,68.78,22.37,13.46,121.73,0.01,26.29,22.75,4.92,162.83,0.46,0.72,0.65,1.76,1.15,1.15,0.61,0.12,2.97,17.77,0.74,4.44,1.02
Bank281,0.05,0.05,0.05,0.25,0.25,0.25,0.25,0.25,0.05,0.05,0.1,0.3,,0.45,0.5,0.55,0.6,0.75,,1.11,4.53,4.53,4.53,4.53,5.03,5.03,5.03,,,5.38,5.38,,11.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank282,0.1,0.1,0.1,0.25,0.25,0.65,0.65,0.65,0.1,0.1,0.1,0.45,,0.85,,1.4,,1.5,1.75,2.25,3.44,3.44,3.94,4.44,3.69,3.69,4.19,4.69,7.24,7.25,7.25,,10.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank283,0.15,0.15,0.2,0.2,0.3,0.6,0.6,0.6,0.05,0.05,,0.2,0.3,0.4,0.5,2,0.75,0.85,1,,,,,,,,,,,,,,,4.08,0.69,3.39,3.55,3.34,2.72,2.88,2.36,0.57,3.7,0.42,0.15,4.27,4.69,0.11,75.82,109.24,75.48,26.9,14.23,69.97,0,23.62,20.26,2.69,129.59,0.82,0.93,0.74,1.71,1.42,0.9,0.59,0.34,7.21,12.01,1.8,3,0.67
Bank284,0.1,0.1,0.1,0.1,0.1,0.15,0.15,0.25,0.2,0.2,0.2,0.2,0.3,0.3,0.35,0.5,0.5,0.65,0.8,1,4.5,4.5,4.5,,5.25,5.25,,,,5.25,5.25,10.99,16.99,4.02,0.67,3.35,3.56,3.49,1.38,1.47,1.23,0.39,3.88,0.27,0.12,4.28,5.41,0.57,65.93,76.68,72.84,14.75,6.85,60.6,0.08,20.52,19.11,8.97,105.41,0.74,0.79,0.59,3.72,1.22,0.89,0.55,0.23,18.16,20.86,4.54,5.21,0.72
Bank285,,,0.15,0.15,0.2,0.2,0.2,0.2,0.1,0.1,,0.2,,0.3,0.45,0.55,2,,1.25,1.35,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,6.99,4.99,4.99,10.65,10.65,4.08,0.39,3.69,3.77,3.64,2.12,2.21,1.75,0.5,3.67,0.42,0.08,4.17,4.8,0.6,73.08,83.53,73.62,18.06,11.5,97.79,0.14,14.56,12.89,9.34,131.92,0.43,0.53,0.51,1.35,0.9,1.02,0.5,0.02,0.89,14.36,0.22,3.59,0.83
Bank286,0.03,0.03,0.03,0.03,0.2,0.2,0.2,0.2,0.05,0.05,0.03,0.18,0.18,0.3,0.3,0.4,0.4,0.6,0.65,0.9,4.19,4.19,4.19,4.19,4.89,4.89,4.89,,6.69,5.69,5.69,11.24,17.24,3.33,0.14,3.19,3.64,3.57,2.41,2.45,1.53,0.81,2.99,0.79,0.02,3.8,4.5,2.12,56.79,71.01,57.04,17.82,14.88,174.9,0.23,19.34,16.46,8.44,140.98,0.17,0.23,0.14,1.45,0.66,0.4,0.13,0.1,8.2,15.47,2.05,3.87,1.49
Bank287,0.1,0.1,0.05,0.1,0.15,0.25,0.25,0.35,0.05,0.05,,0.75,,1.21,1.4,1.6,,2,,2,2.79,2.79,2.79,2.79,3.29,3.29,3.29,,,5.25,5.25,10.24,16.24,4.22,0.78,3.44,3.69,3.64,2.8,2.65,6.92,0.58,3.94,0.53,0.05,4.52,4.98,0.35,74.38,91.81,75.46,12.61,9.24,69.16,0,16.29,14.78,-1.9,117.83,0.79,0.89,0.8,1.67,1.28,1.28,0.72,0.16,5.1,0.2,1.28,0.05,0.78
Bank288,0.09,0.09,0.18,0.27,0.27,0.36,0.48,0.48,0.13,0.13,0.25,0.3,0.85,0.5,,0.6,,0.75,0.75,0.75,7.5,7.5,7.5,,8,8,,,8,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank289,0.05,0.05,0.15,0.15,0.15,0.2,0.3,0.3,0.05,0.05,0.2,0.25,0.25,0.89,0.75,0.9,0.95,1.11,1.27,1.46,,,,,,,,,,,,13.99,13.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank290,0.1,0.15,0.12,0.15,0.25,0.25,0.35,0.45,0.12,0.12,0.15,0.25,,0.35,0.45,0.6,,0.8,1.05,1.3,,,,,,,,,,,,,,3.8,0.3,3.5,3.8,3.69,2.25,2.02,3.23,0.59,3.54,0.43,0.16,4.13,4.8,0.32,61.61,71.91,67.36,13.85,11.87,76.06,0.04,23.31,20.54,10.2,138.22,0.33,0.44,0.41,1.76,1.12,0.8,0.4,0.04,-8.09,-9.75,-2.02,-2.44,0.66
Bank291,0.15,0.15,0.3,0.3,0.3,0.4,0.55,0.55,0.3,0.3,0.35,0.65,,1.25,1.3,1.4,,1.66,1.77,2.1,,,,,,,,,,,,,,4.04,0.56,3.48,3.53,2.99,2.05,2.72,1.8,0.65,3.45,0.24,0.41,4.1,5.04,1.88,66.19,73.92,119.45,17.52,9.95,340.72,0,36.49,32.86,30.73,216.41,0.61,1.11,1.11,,1.49,1.45,1.11,,24.34,27.83,6.09,6.96,-1.12
Bank292,0.05,0.05,0.25,0.25,0.4,0.4,0.5,0.5,0.05,0.05,,0.15,0.15,0.4,0.45,2.01,0.45,1.8,0.6,1.45,5.88,6,6.13,,6.75,6.75,6.38,,11,6.75,6.75,,,4.01,0.76,3.25,3.52,3.44,2.67,2.32,11.26,0.32,4.03,0.27,0.05,4.35,4.58,0.27,81.22,99.6,83.81,13.8,9.24,37.74,0.17,11.52,10.45,-3.67,123.69,0.79,0.91,0.67,2.6,0.98,1.33,0.59,0.32,48.66,64.98,12.17,16.24,0.31
Bank293,0.2,0.2,,0.2,0.3,0.4,0.45,0.45,0.2,0.2,0.15,0.2,,0.25,0.35,0.45,,0.6,1.01,1.26,3.61,3.61,3.61,,4.1,4.1,4.1,,,,,,,3.74,0.32,3.42,3.7,3.57,2.39,2.2,2.59,0.73,3.31,0.34,0.39,4.05,4.78,0.41,62.09,76.19,113.58,35.31,15.69,51.84,0,35.17,29.65,15.29,134.94,0.38,0.48,0.37,3.04,1.58,0.7,0.36,0.12,15.97,20.51,3.99,5.13,-0.19
Bank294,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.05,0.05,,0.2,,0.5,0.5,,1,,,1.5,,,,,,,,,,,,11.24,13.24,3.11,0.41,2.69,2.85,2.79,1.71,1.72,1.64,0.72,2.58,0.63,0.08,3.29,4.43,0.09,54.98,65.31,93.27,38.97,15.51,12.19,-0.01,48.98,41.39,13.76,113.57,0.49,0.5,0.5,,1.07,0.94,0.5,,-4.25,-4.13,-1.06,-1.03,0.19
Bank295,0.1,0.1,0.11,0.11,0.13,0.17,0.22,0.22,0.11,0.11,0.11,0.21,0.26,0.57,0.57,0.71,0.71,0.97,1.19,1.71,4.25,4.25,4.25,4.5,5.99,5.99,5.99,,10.99,6.25,6.25,11.49,13.49,3.91,0.58,3.33,3.57,3.32,2.09,2.08,2.12,0.41,3.77,0.33,0.09,4.18,4.7,1.31,74.35,93.92,59.52,18.78,12.81,34.83,0.25,8.06,7.03,19.78,137.08,0.67,0.86,0.79,1.45,1.09,1.07,0.7,0.16,5.75,6.87,1.44,1.72,1.52
Bank296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55,1.22,2.33,2.48,2.31,2.25,2.84,0.79,0.15,3.62,0.13,0.02,3.77,3.88,0.24,88.71,108.11,90.14,17.41,8.99,65.38,0,6.6,6,-24.4,112.59,1.36,1.47,1.43,1.83,1.49,2,1.3,0.16,5.18,-4.97,1.3,-1.24,0.2
Bank297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.29,0.29,2.99,3.2,3.15,1.98,1.83,2.42,0.72,2.8,0.49,0.22,3.52,4.39,0.29,59.67,74.62,97.04,30.97,12.9,56.03,0.1,40.43,35.21,15.75,118.58,0.33,0.36,0.26,1.64,1.14,0.75,0.24,0.12,-4.44,-10.25,-1.11,-2.56,0.1
Bank298,0.04,0.04,0.07,0.08,0.08,0.09,0.11,0.11,0.07,0.07,0.14,0.18,0.2,0.6,1.05,0.86,1.45,0.67,0.69,1.75,4.44,4.98,5.31,,6.23,6.82,6,,17.31,5.5,5.5,11.49,16.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank299,0.15,0.15,0.25,0.3,0.3,1.05,1.05,1.05,0.15,0.15,0.75,1.31,,1.41,2.53,2.12,,2.28,2.94,2.63,6.25,6.5,6.75,,7,7.5,,,10.5,,,10.15,,3.96,0.97,3,3.18,2.93,2.5,2.45,2.71,0.29,3.92,0.23,0.06,4.21,4.43,0.11,82.36,113.31,42.4,12.66,10.94,49.69,1.6,8.79,7.83,4.36,124.88,1.07,1.28,1.02,2.21,1.53,1.58,0.8,0.48,3.91,-4.8,0.98,-1.2,0.33
Bank300,0.05,0.05,0.1,0.2,0.25,0.25,0.25,0.25,0.05,0.05,0.45,0.55,0.6,0.7,1.01,1.26,1.31,1.77,1.92,2.02,,,,,,,,,8.99,,,,,3.63,0.57,3.06,3.2,3.03,1.98,1.96,2.04,0.31,3.48,0.23,0.07,3.79,4.12,0.29,81.45,98.66,75.12,14.18,9.27,87.77,0.01,14.67,13.31,-9.28,127.92,0.62,0.76,0.64,1.76,1.39,1.21,0.57,0.18,17.41,18.93,4.35,4.73,0.51
Bank301,0.1,0.1,0.1,0.1,0.15,0.15,0.2,0.2,0.1,0.1,0.1,0.2,1.5,0.4,0.6,0.9,,1,1.25,1.5,,,,,,,,,16,,,,,3.7,0.54,3.16,3.32,3.25,2.19,2.04,2.74,0.15,3.74,0.11,0.04,3.89,4.02,0.43,88.15,103.12,95.03,14.45,9.24,45.37,-0.13,7.19,6.53,16.38,111.84,0.59,0.64,0.57,1.97,1.19,0.98,0.54,0.11,1.52,-2.47,0.38,-0.62,0.56
Bank302,0.15,0.15,0.2,0.3,0.3,0.35,0.5,0.5,0.2,0.2,0.19,0.28,,0.45,0.52,0.59,0.65,0.88,0.92,1.08,5.5,5.5,5.5,,6.25,6.25,,,,6,6,,,4.17,0.53,3.64,3.78,3.53,1.94,2.43,1.4,0.61,3.72,0.4,0.21,4.33,5.43,0.7,64.98,71.55,79.47,14.97,7.74,25.27,0.47,32.82,30.28,46.57,149.08,0.57,0.8,0.82,0,1.35,1.01,0.81,0,5.11,6.12,1.28,1.53,0.89
Bank303,,,0.02,0.02,0.65,0.65,0.65,0.25,0.02,0.02,0.05,0.15,1.8,1.9,0.3,0.5,0.4,0.75,,1,3.5,3.5,3.74,5,4.25,4.25,4.25,,11.5,4.74,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank304,,,0.2,0.25,0.35,0.75,0.75,1,0.15,0.15,0.2,0.45,0.55,0.6,,1.15,,1.25,1.5,1.6,2.99,2.99,2.99,3.25,2.99,2.99,2.99,3.25,14,9,9,,,3.88,0.78,3.1,3.17,2.92,3.27,3.24,3.63,0.75,3.21,0.69,0.06,3.97,4.17,0.42,75.34,112.05,68.29,19.69,13.93,64.66,0,25.96,22.35,-6.78,132.81,0.92,1.05,0.68,2.1,1.27,0.96,0.5,0.55,-3.1,13.28,-0.78,3.32,0.79
Bank305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,0,2.2,2.86,2.86,2.86,2.88,,2.86,,2.86,,2.86,,202.41,0,0,90.21,150.51,89.52,,,,74.28,3.28,,0,0,0,,,,0,,2.11,1.24,0.53,0.31,14.79
Bank306,0.1,0.1,0.5,1,1,1,1.26,1.26,0.1,0.1,1.25,1.65,1.65,2,2,2.25,2.25,2.35,2.45,2.55,,,,,,,,,,,,11.24,13.24,4.23,1.25,2.97,3.09,2.93,2.14,2.3,1.7,0.29,4.09,0.23,0.06,4.39,4.75,0.58,80.19,99.88,55.94,13.15,9.78,38.85,-0.43,13.92,12.56,22.73,115.82,1.33,1.45,1.41,1.82,2.34,1.59,1.25,0.21,18.1,22.45,4.52,5.61,1.15
Bank307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.26,0.26,2.99,3.08,3.02,1.84,2.6,1.63,0.94,2.41,0.28,0.66,3.35,4.93,0.23,45.9,49.4,87.48,20.61,6.32,,0,54.03,50.61,32.47,121.79,0.28,0.33,0.33,,0,0.94,0.33,,10.36,10.61,2.59,2.65,0.24
